,Input Parameters,,Output parameter
500,8.89E+02,2.12E+09,1433.69
501,1.45E+03,1.41E+09,919.54
502,9.02E+02,1.47E+09,1190.48
503,9.56E+02,1.75E+09,1257.86
504,6.99E+02,2.18E+09,1646.09
505,1.06E+03,1.10E+09,952.38
506,1.84E+03,9.78E+08,683.76
507,1.83E+03,1.47E+09,838.57
508,1.07E+03,1.74E+09,1190.48
509,1.50E+03,2.19E+09,1129.94
510,8.48E+02,1.33E+09,1169.59
511,1.92E+03,1.67E+09,871.46
512,1.42E+03,2.00E+09,1111.11
513,7.79E+02,1.37E+09,1234.57
514,6.29E+02,1.05E+09,1212.12
515,1.33E+03,1.53E+09,1002.51
516,8.82E+02,9.60E+08,973.24
517,5.70E+02,1.85E+09,1666.67
518,7.04E+02,1.07E+09,1149.43
519,5.36E+02,1.20E+09,1388.89
520,1.51E+03,1.65E+09,980.39
521,1.66E+03,1.79E+09,966.18
522,1.70E+03,1.44E+09,860.22
523,8.68E+02,1.76E+09,1320.13
524,1.84E+03,2.09E+09,995.02
525,1.40E+03,1.89E+09,1084.01
526,4.82E+02,1.46E+09,1626.02
527,9.90E+02,1.71E+09,1223.24
528,1.28E+03,1.26E+09,932.4
529,1.43E+03,1.92E+09,1084.01
530,1.15E+03,1.39E+09,1033.59
531,1.71E+03,1.03E+09,728.6
532,6.83E+02,1.34E+09,1307.19
533,1.96E+03,1.33E+09,770.71
534,1.74E+03,9.52E+08,690.85
535,9.84E+02,1.16E+09,1017.81
536,1.41E+03,2.11E+09,1139.6
537,9.28E+02,1.83E+09,1307.19
538,5.97E+02,2.10E+09,1731.6
539,1.26E+03,1.29E+09,945.63
540,1.73E+03,2.16E+09,1041.67
541,1.64E+03,1.21E+09,803.21
542,1.92E+03,2.25E+09,1010.1
543,9.74E+02,1.49E+09,1159.42
544,1.06E+03,1.24E+09,1010.1
545,6.92E+02,2.05E+09,1606.43
546,9.74E+02,1.42E+09,1129.94
547,1.31E+03,1.61E+09,1033.59
548,1.31E+03,1.95E+09,1139.6
549,7.07E+02,2.07E+09,1587.3
550,6.40E+02,1.46E+09,1403.51
551,1.07E+03,1.05E+09,925.93
552,1.74E+03,1.29E+09,803.21
553,7.45E+02,2.01E+09,1532.57
554,1.23E+03,2.21E+09,1246.11
555,6.55E+02,1.70E+09,1498.13
556,1.79E+03,2.21E+09,1041.67
557,1.64E+03,1.74E+09,966.18
558,1.33E+03,2.28E+09,1223.24
559,1.06E+03,1.97E+09,1269.84
560,1.21E+03,1.18E+09,919.54
561,1.83E+03,1.63E+09,883
562,1.85E+03,1.80E+09,925.93
563,1.23E+03,2.12E+09,1223.24
564,1.28E+03,1.75E+09,1092.9
565,1.86E+03,2.30E+09,1041.67
566,1.35E+03,1.10E+09,843.88
567,1.65E+03,1.32E+09,838.57
568,1.48E+03,1.58E+09,966.18
569,1.18E+03,1.10E+09,900.9
570,7.98E+02,1.23E+09,1159.42
571,1.39E+03,1.17E+09,860.22
572,7.44E+02,1.85E+09,1465.2
573,7.64E+02,1.37E+09,1246.11
574,1.79E+03,2.01E+09,995.02
575,6.53E+02,1.67E+09,1481.48
576,1.45E+03,1.24E+09,865.8
577,1.13E+03,1.87E+09,1201.2
578,1.40E+03,9.88E+08,784.31
579,1.60E+03,1.71E+09,966.18
580,9.27E+02,2.29E+09,1465.2
581,5.26E+02,1.42E+09,1532.57
582,1.75E+03,1.69E+09,919.54
583,1.03E+03,2.20E+09,1360.54
584,1.48E+03,1.28E+09,871.46
585,1.84E+03,2.07E+09,995.02
586,8.82E+02,1.16E+09,1075.27
587,2.00E+03,2.13E+09,966.18
588,1.74E+03,1.31E+09,808.08
589,1.68E+03,2.09E+09,1041.67
590,1.47E+03,2.03E+09,1101.93
591,1.30E+03,1.18E+09,894.85
592,1.06E+03,2.27E+09,1360.54
593,1.73E+03,1.27E+09,803.21
594,1.38E+03,1.99E+09,1120.45
595,1.66E+03,2.04E+09,1033.59
596,1.98E+03,1.61E+09,843.88
597,1.67E+03,2.18E+09,1066.67
598,1.77E+03,1.06E+09,724.64
599,1.21E+03,1.11E+09,894.85
600,1.81E+03,2.10E+09,1010.1
601,9.74E+02,9.46E+08,919.54
602,7.76E+02,1.93E+09,1465.2
603,1.22E+03,2.05E+09,1212.12
604,5.08E+02,1.08E+09,1360.54
605,1.73E+03,1.59E+09,894.85
606,8.67E+02,1.40E+09,1190.48
607,1.50E+03,1.99E+09,1075.27
608,1.68E+03,1.31E+09,828.16
609,1.51E+03,2.06E+09,1092.9
610,1.46E+03,1.16E+09,833.33
611,8.26E+02,2.11E+09,1481.48
612,1.20E+03,2.20E+09,1269.84
613,1.90E+03,1.18E+09,740.74
614,8.31E+02,9.89E+08,1017.81
615,7.82E+02,1.68E+09,1360.54
616,8.80E+02,9.33E+08,966.18
617,1.65E+03,2.06E+09,1041.67
618,9.70E+02,2.17E+09,1388.89
619,1.39E+03,1.89E+09,1092.9
620,7.43E+02,1.26E+09,1212.12
621,5.95E+02,1.73E+09,1587.3
622,9.36E+02,2.22E+09,1433.69
623,8.16E+02,2.16E+09,1515.15
624,1.86E+03,1.76E+09,907.03
625,1.90E+03,2.01E+09,959.23
626,5.09E+02,2.07E+09,1932.37
627,1.37E+03,1.69E+09,1033.59
628,5.27E+02,9.21E+08,1234.57
629,1.11E+03,1.27E+09,995.02
630,1.26E+03,1.52E+09,1025.64
631,1.75E+03,1.51E+09,871.46
632,1.42E+03,2.13E+09,1139.6
633,8.53E+02,1.01E+09,1017.81
634,1.85E+03,1.39E+09,813.01
635,1.64E+03,1.16E+09,788.95
636,1.33E+03,1.26E+09,913.24
637,1.84E+03,1.92E+09,959.23
638,1.03E+03,1.32E+09,1058.2
639,9.80E+02,1.25E+09,1058.2
640,1.41E+03,1.11E+09,833.33
641,5.94E+02,1.22E+09,1333.33
642,1.04E+03,2.05E+09,1307.19
643,7.49E+02,1.44E+09,1294.5
644,1.71E+03,1.84E+09,973.24
645,1.57E+03,2.21E+09,1111.11
646,1.50E+03,1.51E+09,938.97
647,1.87E+03,1.76E+09,907.03
648,1.72E+03,2.26E+09,1066.67
649,1.31E+03,1.42E+09,973.24
650,4.84E+02,1.84E+09,1801.8
651,6.06E+02,1.35E+09,1388.89
652,1.25E+03,2.14E+09,1223.24
653,1.93E+03,1.33E+09,779.73
654,1.76E+03,1.33E+09,813.01
655,1.90E+03,2.17E+09,1002.51
656,1.96E+03,1.60E+09,843.88
657,1.03E+03,1.21E+09,1010.1
658,9.54E+02,9.56E+08,938.97
659,1.67E+03,1.15E+09,779.73
660,7.87E+02,1.34E+09,1212.12
661,1.94E+03,2.25E+09,1010.1
662,1.89E+03,2.00E+09,959.23
663,1.02E+03,1.85E+09,1257.86
664,9.91E+02,2.08E+09,1346.8
665,1.53E+03,1.50E+09,925.93
666,1.56E+03,1.89E+09,1025.64
667,1.69E+03,1.58E+09,907.03
668,1.37E+03,2.05E+09,1139.6
669,6.10E+02,1.52E+09,1465.2
670,1.32E+03,2.11E+09,1179.94
671,5.26E+02,9.32E+08,1246.11
672,1.63E+03,2.29E+09,1111.11
673,1.48E+03,1.30E+09,877.19
674,1.38E+03,9.66E+08,784.31
675,8.10E+02,1.13E+09,1101.93
676,1.56E+03,1.58E+09,938.97
677,1.58E+03,2.15E+09,1092.9
678,9.90E+02,1.31E+09,1075.27
679,5.10E+02,2.00E+09,1826.48
680,1.76E+03,1.16E+09,757.58
681,1.65E+03,1.93E+09,1010.1
682,1.24E+03,1.26E+09,938.97
683,1.55E+03,1.03E+09,766.28
684,1.68E+03,2.10E+09,1041.67
685,9.69E+02,1.87E+09,1294.5
686,1.87E+03,2.24E+09,1025.64
687,1.35E+03,2.28E+09,1212.12
688,9.03E+02,1.66E+09,1257.86
689,8.71E+02,2.17E+09,1465.2
690,1.83E+03,1.58E+09,871.46
691,1.02E+03,2.15E+09,1346.8
692,6.91E+02,9.53E+08,1092.9
693,1.92E+03,1.10E+09,709.22
694,1.46E+03,1.94E+09,1075.27
695,1.97E+03,1.46E+09,803.21
696,7.59E+02,1.46E+09,1294.5
697,1.74E+03,1.75E+09,938.97
698,1.22E+03,9.53E+08,828.16
699,1.37E+03,1.45E+09,966.18
700,5.29E+02,9.98E+08,1282.05
701,1.33E+03,1.87E+09,1111.11
702,1.44E+03,1.64E+09,995.02
703,1.23E+03,1.02E+09,854.7
704,5.52E+02,1.48E+09,1532.57
705,1.25E+03,1.51E+09,1025.64
706,5.42E+02,1.83E+09,1709.4
707,1.76E+03,1.22E+09,779.73
708,1.38E+03,1.03E+09,813.01
709,1.52E+03,1.57E+09,945.63
710,1.46E+03,1.93E+09,1075.27
711,1.42E+03,1.77E+09,1041.67
712,1.93E+03,2.16E+09,987.65
713,7.32E+02,1.27E+09,1223.24
714,1.19E+03,1.22E+09,945.63
715,1.76E+03,1.25E+09,788.95
716,1.23E+03,2.04E+09,1201.2
717,1.63E+03,1.89E+09,1002.51
718,7.37E+02,2.13E+09,1587.3
719,1.53E+03,1.90E+09,1041.67
720,1.87E+03,1.83E+09,925.93
721,7.10E+02,1.53E+09,1360.54
722,1.12E+03,1.70E+09,1149.43
723,5.24E+02,2.29E+09,1990.05
724,8.08E+02,2.24E+09,1550.39
725,1.49E+03,1.38E+09,900.9
726,1.80E+03,1.13E+09,744.88
727,9.91E+02,1.50E+09,1149.43
728,5.02E+02,1.69E+09,1709.4
729,1.85E+03,9.61E+08,673.4
730,1.19E+03,2.12E+09,1246.11
731,1.86E+03,2.15E+09,1002.51
732,9.65E+02,1.61E+09,1201.2
733,1.52E+03,1.21E+09,833.33
734,4.87E+02,1.92E+09,1851.85
735,1.25E+03,1.89E+09,1149.43
736,9.71E+02,1.56E+09,1179.94
737,9.78E+02,1.16E+09,1017.81
738,1.93E+03,2.02E+09,959.23
739,1.62E+03,2.15E+09,1075.27
740,9.74E+02,1.12E+09,1002.51
741,1.43E+03,2.22E+09,1159.42
742,1.10E+03,9.20E+08,854.7
743,1.35E+03,1.53E+09,995.02
744,1.94E+03,9.35E+08,2469.14
745,1.41E+03,1.24E+09,877.19
746,6.92E+02,1.90E+09,1532.57
747,1.75E+03,1.88E+09,966.18
748,1.58E+03,1.29E+09,843.88
749,6.28E+02,1.37E+09,1374.57
750,7.08E+02,1.05E+09,1139.6
751,9.17E+02,9.77E+08,966.18
752,1.11E+03,1.97E+09,1246.11
753,1.27E+03,1.37E+09,966.18
754,8.84E+02,1.64E+09,1269.84
755,1.74E+03,2.23E+09,1058.2
756,1.68E+03,1.84E+09,980.39
757,8.82E+02,1.57E+09,1246.11
758,1.41E+03,1.82E+09,1058.2
759,6.16E+02,1.84E+09,1606.43
760,1.49E+03,1.24E+09,854.7
761,9.95E+02,2.03E+09,1333.33
762,1.49E+03,1.61E+09,973.24
763,9.15E+02,1.52E+09,1201.2
764,1.51E+03,1.90E+09,1049.87
765,1.07E+03,1.69E+09,1169.59
766,1.06E+03,1.27E+09,1025.64
767,7.79E+02,1.02E+09,1075.27
768,1.58E+03,1.73E+09,980.39
769,1.72E+03,1.85E+09,966.18
770,1.89E+03,1.73E+09,894.85
771,1.25E+03,1.66E+09,1075.27
772,7.57E+02,1.57E+09,1346.8
773,1.39E+03,1.37E+09,925.93
774,7.65E+02,1.51E+09,1307.19
775,1.09E+03,1.98E+09,1257.86
776,1.77E+03,2.30E+09,1066.67
777,1.12E+03,1.29E+09,1002.51
778,1.89E+03,2.01E+09,966.18
779,1.03E+03,1.11E+09,966.18
780,1.54E+03,9.69E+08,744.88
781,1.37E+03,1.55E+09,995.02
782,6.15E+02,1.70E+09,1550.39
783,1.10E+03,1.24E+09,995.02
784,1.88E+03,1.12E+09,720.72
785,5.46E+02,1.85E+09,1709.4
786,1.05E+03,1.41E+09,1084.01
787,8.31E+02,1.62E+09,1307.19
788,8.11E+02,1.88E+09,1418.44
789,1.01E+03,1.74E+09,1223.24
790,1.88E+03,1.62E+09,865.8
791,1.23E+03,1.99E+09,1190.48
792,1.70E+03,1.87E+09,980.39
793,9.99E+02,1.36E+09,1092.9
794,1.17E+03,2.07E+09,1246.11
795,1.92E+03,1.83E+09,913.24
796,6.65E+02,1.73E+09,1498.13
797,5.68E+02,9.46E+08,1201.2
798,1.55E+03,2.07E+09,1084.01
799,1.89E+03,1.08E+09,705.47
800,6.28E+02,2.08E+09,1687.76
801,1.46E+03,1.39E+09,913.24
802,6.85E+02,1.51E+09,1388.89
803,1.53E+03,2.02E+09,1075.27
804,1.42E+03,1.12E+09,828.16
805,5.27E+02,1.76E+09,1687.76
806,1.69E+03,2.20E+09,1066.67
807,1.98E+03,1.80E+09,894.85
808,1.13E+03,9.86E+08,871.46
809,9.91E+02,1.88E+09,1282.05
810,5.35E+02,1.27E+09,1433.69
811,8.07E+02,1.87E+09,1418.44
812,1.35E+03,1.42E+09,959.23
813,1.39E+03,1.67E+09,1025.64
814,8.49E+02,1.23E+09,1120.45
815,1.47E+03,2.17E+09,1139.6
816,5.53E+02,1.44E+09,1498.13
817,1.91E+03,1.03E+09,687.29
818,6.02E+02,9.63E+08,1179.94
819,9.74E+02,1.79E+09,1257.86
820,1.46E+03,2.21E+09,1149.43
821,1.24E+03,1.36E+09,980.39
822,1.28E+03,1.95E+09,1149.43
823,1.04E+03,1.32E+09,1049.87
824,1.64E+03,1.09E+09,761.9
825,8.95E+02,1.63E+09,1257.86
826,1.46E+03,1.45E+09,932.4
827,1.88E+03,2.27E+09,1025.64
828,9.69E+02,1.32E+09,1092.9
829,1.71E+03,1.74E+09,938.97
830,1.67E+03,1.71E+09,945.63
831,6.51E+02,1.77E+09,1532.57
832,7.02E+02,1.69E+09,1449.28
833,1.10E+03,1.31E+09,1017.81
834,1.52E+03,1.13E+09,808.08
835,1.47E+03,1.93E+09,1066.67
836,1.51E+03,9.75E+08,753.3
837,4.74E+02,2.03E+09,1960.78
838,6.58E+02,1.48E+09,1403.51
839,1.64E+03,2.07E+09,1049.87
840,1.76E+03,2.26E+09,1058.2
841,1.61E+03,1.50E+09,907.03
842,1.91E+03,9.94E+08,676.82
843,1.88E+03,2.01E+09,966.18
844,8.04E+02,1.79E+09,1388.89
845,1.25E+03,1.62E+09,1066.67
846,1.67E+03,1.70E+09,945.63
847,1.26E+03,1.35E+09,966.18
848,1.41E+03,1.95E+09,1101.93
849,1.32E+03,1.38E+09,959.23
850,1.59E+03,2.14E+09,1084.01
851,5.58E+02,1.38E+09,1465.2
852,1.22E+03,2.02E+09,1201.2
853,8.14E+02,2.03E+09,1465.2
854,9.80E+02,9.89E+08,938.97
855,1.31E+03,1.48E+09,995.02
856,1.61E+03,2.25E+09,1101.93
857,1.09E+03,1.49E+09,1092.9
858,1.24E+03,1.38E+09,987.65
859,6.59E+02,1.80E+09,1532.57
860,7.91E+02,2.10E+09,1515.15
861,9.11E+02,2.01E+09,1388.89
862,1.15E+03,1.66E+09,1120.45
863,8.30E+02,1.94E+09,1418.44
864,8.65E+02,1.94E+09,1388.89
865,1.83E+03,1.53E+09,854.7
866,1.36E+03,2.09E+09,1159.42
867,1.91E+03,1.60E+09,860.22
868,1.41E+03,2.23E+09,1169.59
869,8.46E+02,2.02E+09,1433.69
870,6.18E+02,1.10E+09,1246.11
871,1.30E+03,1.25E+09,913.24
872,1.14E+03,1.10E+09,919.54
873,1.52E+03,1.66E+09,973.24
874,1.63E+03,9.98E+08,732.6
875,1.08E+03,1.57E+09,1129.94
876,1.33E+03,2.28E+09,1223.24
877,7.77E+02,1.86E+09,1449.28
878,1.91E+03,2.12E+09,987.65
879,1.25E+03,1.60E+09,1058.2
880,8.85E+02,1.32E+09,1139.6
881,8.13E+02,1.17E+09,1120.45
882,1.93E+03,2.25E+09,1010.1
883,1.52E+03,1.96E+09,1058.2
884,1.55E+03,2.23E+09,1120.45
885,1.47E+03,1.85E+09,1049.87
886,1.66E+03,1.18E+09,788.95
887,1.35E+03,1.32E+09,925.93
888,1.23E+03,1.00E+09,843.88
889,1.81E+03,9.81E+08,690.85
890,1.07E+03,1.31E+09,1033.59
891,8.34E+02,1.16E+09,1101.93
892,8.94E+02,1.85E+09,1346.8
893,1.85E+03,2.17E+09,1010.1
894,1.54E+03,1.41E+09,894.85
895,1.77E+03,1.06E+09,724.64
896,1.04E+03,2.01E+09,1294.5
897,1.43E+03,1.57E+09,980.39
898,5.09E+02,1.87E+09,1777.78
899,1.88E+03,1.86E+09,932.4
900,1.18E+03,1.50E+09,1049.87
901,1.26E+03,1.83E+09,1129.94
902,1.64E+03,1.79E+09,980.39
903,9.78E+02,1.64E+09,1212.12
904,1.42E+03,1.18E+09,854.7
905,9.63E+02,1.63E+09,1212.12
906,9.39E+02,1.95E+09,1346.8
907,1.45E+03,1.50E+09,952.38
908,1.13E+03,1.94E+09,1223.24
909,6.18E+02,1.87E+09,1606.43
910,8.24E+02,2.24E+09,1532.57
911,1.96E+03,1.34E+09,775.19
912,1.54E+03,1.39E+09,888.89
913,1.48E+03,1.45E+09,925.93
914,9.62E+02,9.56E+08,932.4
915,4.91E+02,1.79E+09,1777.78
916,1.34E+03,1.70E+09,1049.87
917,5.16E+02,1.42E+09,1550.39
918,8.68E+02,1.50E+09,1223.24
919,7.54E+02,1.56E+09,1346.8
920,1.15E+03,1.35E+09,1010.1
921,1.64E+03,1.23E+09,813.01
922,1.43E+03,1.08E+09,813.01
923,9.45E+02,1.10E+09,1010.1
924,9.10E+02,2.23E+09,1449.28
925,5.80E+02,1.60E+09,1550.39
926,7.25E+02,1.95E+09,1532.57
927,1.57E+03,1.35E+09,865.8
928,5.98E+02,9.31E+08,1169.59
929,1.87E+03,1.77E+09,907.03
930,1.12E+03,1.41E+09,1049.87
931,5.83E+02,1.82E+09,1646.09
932,1.34E+03,2.09E+09,1169.59
933,1.74E+03,1.06E+09,732.6
934,9.95E+02,1.73E+09,1234.57
935,1.66E+03,1.72E+09,952.38
936,1.55E+03,1.64E+09,959.23
937,1.37E+03,1.55E+09,995.02
938,1.04E+03,2.25E+09,1374.57
939,1.07E+03,1.17E+09,980.39
940,1.12E+03,1.69E+09,1149.43
941,1.11E+03,1.78E+09,1179.94
942,7.97E+02,9.62E+08,1025.64
943,1.23E+03,1.81E+09,1129.94
944,5.21E+02,2.08E+09,1851.85
945,1.33E+03,1.47E+09,980.39
946,5.36E+02,1.52E+09,1568.63
947,1.80E+03,1.04E+09,709.22
948,1.78E+03,1.72E+09,919.54
949,9.81E+02,2.12E+09,1374.57
950,1.96E+03,1.21E+09,736.65
951,1.93E+03,1.05E+09,690.85
952,1.98E+03,1.18E+09,724.64
953,7.03E+02,1.84E+09,1498.13
954,4.64E+02,1.93E+09,1932.37
955,8.42E+02,1.79E+09,1360.54
956,9.93E+02,1.57E+09,1169.59
957,8.19E+02,1.35E+09,1201.2
958,1.62E+03,1.81E+09,987.65
959,8.08E+02,1.70E+09,1346.8
960,1.15E+03,1.84E+09,1179.94
961,8.60E+02,1.09E+09,1049.87
962,9.93E+02,1.85E+09,1269.84
963,1.85E+03,1.86E+09,938.97
964,4.80E+02,2.20E+09,2051.28
965,6.64E+02,2.06E+09,1646.09
966,1.06E+03,1.17E+09,980.39
967,1.75E+03,2.23E+09,1049.87
968,7.88E+02,1.20E+09,1149.43
969,1.90E+03,1.22E+09,749.06
970,1.95E+03,9.32E+08,2469.14
971,1.04E+03,1.33E+09,1058.2
972,1.98E+03,1.30E+09,757.58
973,6.48E+02,1.73E+09,1515.15
974,1.63E+03,1.47E+09,888.89
975,1.35E+03,1.18E+09,871.46
976,1.42E+03,1.46E+09,952.38
977,1.21E+03,1.13E+09,907.03
978,7.99E+02,2.07E+09,1498.13
979,6.82E+02,1.13E+09,1201.2
980,1.44E+03,1.86E+09,1058.2
981,1.70E+03,1.96E+09,1002.51
982,1.49E+03,9.41E+08,744.88
983,1.19E+03,1.12E+09,907.03
984,1.91E+03,9.62E+08,670.02
985,1.37E+03,2.04E+09,1139.6
986,8.09E+02,9.85E+08,1033.59
987,1.51E+03,1.84E+09,1033.59
988,9.54E+02,1.55E+09,1190.48
989,1.61E+03,2.03E+09,1049.87
990,2.00E+03,1.41E+09,788.95
991,8.75E+02,9.55E+08,973.24
992,1.90E+03,1.22E+09,753.3
993,1.53E+03,1.90E+09,1041.67
994,6.07E+02,1.68E+09,1550.39
995,8.39E+02,2.12E+09,1481.48
996,1.90E+03,1.94E+09,945.63
997,1.20E+03,1.06E+09,883
998,1.82E+03,2.26E+09,1041.67
999,1.66E+03,1.94E+09,1010.1
1000,4.88E+02,9.39E+08,1294.5
